time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,98.8,93.0,93.0,93.0,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.275957614183426e-12,-0.003824498687553187,-0.008923830270957438,-0.0036140372328346305,-0.010842111698503888,-0.008923830270957438,-0.003824498687553187,-0.010842111698503888,-0.0036140372328346305,False,False,0.0,0.0,6.043972499999999,12.087944999999998
5,0.08333333333333333,False,False,92.9820329973238,50.0,98.78309264597125,92.91317564607733,92.94585969527812,92.9436777050385,74.0,42.9820329973238,0.29484020376562414,0.13764640790836807,0.0,0.01927387911056376,0.13764640790836807,0.0,0.01927387911056376,0.13764640790836807,0.0,0.0,7.275957614183426e-12,0.04357253323304062,0.04736843435589839,0.2467841657099496,0.2520007675414817,0.028094555245334628,0.024298654122476858,0.11435435963311363,0.10913775780158153,False,False,6.043972499999999,12.087944999999998,0.36791960302133986,0.7358392060426797
10,0.16666666666666666,False,False,92.85717671042218,50.0,98.60512954413085,92.32099108863555,92.60699799064751,92.60327122893628,74.0,42.85717671042218,0.5796023880389035,0.4069413492768468,0.24939246662571565,0.057905539168809854,0.4069413492768468,0.0005272052246289467,0.057905539168809854,0.4069413492768468,0.016382711861627382,0.01644478761522071,7.275957614183426e-12,0.08260449828893648,0.08033992474663794,0.5374738070204133,0.5345797950957066,0.022434385577828085,0.02469895912012663,0.12763844581885986,0.13053245774356648,False,False,0.36791960302133986,0.7358392060426797,0.3552132267257703,0.7104264534515407
15,0.25,False,False,92.4727209211322,50.0,98.19303891853278,91.24541222977165,91.93835834447553,91.92565734045506,74.0,42.47272092113219,0.8543431173460283,0.6710799308490847,0.53602680105806,0.09716799083833001,0.6710799308490847,0.014667814453724837,0.09716799083833001,0.6710799308490847,0.04231626829912011,0.04177620892415339,7.275957614183426e-12,0.1192658093051959,0.12110747337960737,0.7704606724805165,0.7728013512746398,0.023939482541277354,0.022097818466865884,0.1017214204255551,0.09938074163143185,False,False,0.3552132267257703,0.7104264534515407,0.32012039965450584,0.6402407993090117
20,0.3333333333333333,False,False,91.71308284729794,50.0,97.52579142331182,89.75778218481123,90.83822206994633,90.83091449680246,74.0,41.71308284729794,1.1180311358695514,0.9290964046515493,0.7716310118775782,0.13687230066426503,0.9290964046515493,0.038562330718174886,0.13687230066426503,0.9290964046515493,0.07211740585228044,0.07233969768674257,0.019883306107658427,0.15846231807750988,0.1575030072968672,1.0310490052425847,1.0299647210618963,0.020630706632602164,0.021590017413244844,0.10086831641034699,0.10195260059103539,False,False,0.32012039965450584,0.6402407993090117,0.2665379167307912,0.5330758334615824
25,0.4166666666666667,False,False,90.56121308714083,50.0,96.60479429036499,87.93799807952865,89.45650938625874,89.45015016626668,74.0,40.56121308714083,1.3688408117752215,1.1791896169074187,1.0305068631522405,0.17670809862421377,1.1791896169074187,0.0682406979635484,0.17670809862421377,1.1791896169074187,0.10474055601560397,0.10462177057772612,0.048361647488491144,0.19595625013113538,0.1968881873505703,1.2608308828717427,1.2619450113981705,0.020180088726356515,0.019248151506921607,0.08275539449075175,0.08164126596432397,False,False,0.2665379167307912,0.5330758334615824,0.207304710927349,0.414609421854698
30,0.5,False,False,89.06247456015042,50.0,95.451400226762,85.87561134246631,87.76962825190941,87.76271033392698,74.0,39.06247456015042,1.604854946978402,1.419168874004047,1.2613879471349567,0.21630202613972493,1.419168874004047,0.10123686995259437,0.21630202613972493,1.419168874004047,0.13855552870572208,0.13875484507857763,0.08050083407579223,0.23420977130168757,0.2338476790428376,1.4941360446459888,1.4938006997331386,0.017545652903112663,0.01790774516196264,0.07463182572909166,0.07496717064194192,False,False,0.207304710927349,0.414609421854698,0.1510248485131441,0.3020496970262882
35,0.5833333333333334,False,False,87.2884579282704,50.0,94.1025225800016,83.66174754937245,85.91407869723186,85.91086842513009,74.0,37.288457928270404,1.8244949523716802,1.646967521178439,1.4939683721895638,0.25528833347709756,1.646967521178439,0.1361286404598579,0.25528833347709756,1.646967521178439,0.17332281961905063,0.17334920128785564,0.11501540382596431,0.2708211063678219,0.27132763263165827,1.705385946441712,1.705970952013573,0.016039299154560704,0.015532772890724356,0.05900343083513415,0.05841842526327312,False,False,0.1510248485131441,0.3020496970262882,0.10175308362761126,0.20350616725522253
40,0.6666666666666666,False,False,85.31875175495489,50.0,92.60445690205273,81.38038040942062,83.91586415530085,83.91021908187994,74.0,35.31875175495489,2.026688293238129,1.8609187959880629,1.7056784492276424,0.29334864339810535,1.8609187959880629,0.17202856690236354,0.29334864339810535,1.8609187959880629,0.20820996505915834,0.2083755898200676,0.1510619727851008,0.3070173445330601,0.30692560998259466,1.9085753832115024,1.9085443131943034,0.013576966584489314,0.013668701134954775,0.04762551720624053,0.04765658722343957,False,False,0.10175308362761126,0.20350616725522253,0.061210389910853424,0.12242077982170685
45,0.75,False,False,83.23103137755598,50.0,91.00656426863328,79.10234868970093,81.87368820561753,81.869133270516,74.0,33.23103137755598,2.2109058470826803,2.0598556465957407,1.908559848202903,0.33022825911029385,2.0598556465957407,0.20831650039275135,0.33022825911029385,2.0598556465957407,0.24303881789568182,0.24312138827620422,0.18801360695943004,0.3415227826285573,0.34182836792575855,2.0928289930199875,2.093180772673789,0.011600108815464694,0.011294523518263433,0.033325126078048495,0.03297334642424676,False,False,0.061210389910853424,0.12242077982170685,0.029797676068164136,0.05959535213632827
