time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,95.9,93.0,93.0,92.99859384556382,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,9.185896487906575e-12,0.0,-0.06003361123466673,0.004932777515969128,7.321432349272073e-12,-0.06003361123466673,0.004932777515969128,-0.06003994062621891,0.00492011874756218,0.004932777506783231,-0.060033611243852626,0.00492011874756218,-0.06003994062621891,False,False,0.0,0.0,0.36747083333333336,0.36747083333333336
5,0.08333333333333333,False,False,93.0,50.0,95.9,92.99989514123133,92.99113922778136,92.78002675987622,74.0,43.0,0.008963076468160944,0.009052707232842554,-0.027559910939328365,0.0,0.0,0.0,9.185896487906575e-12,0.009052707232842554,0.00968568023114838,0.06799406462536325,7.321432349272073e-12,0.00968568023114838,0.06799406462536325,0.023203158345382086,0.08138181607910443,0.06799406461617735,0.009685680221962483,0.07232910884626187,0.014150451112539531,False,False,0.0,0.0,0.3694416666666667,0.3694416666666667
10,0.16666666666666666,False,False,92.99999734600294,50.0,95.89999912004771,92.99921032896137,93.0,92.93108934009624,74.0,42.99999734600294,0.026085314397288076,0.026346167541260956,0.052292487212243256,0.00023368876320549697,0.0012940800097188147,0.0,9.185896487906575e-12,0.026346167541260956,-0.03508667972186503,0.03029794002604934,7.321432349272073e-12,-0.03508667972186503,0.03029794002604934,-0.0015556740094086275,0.06338558296050895,0.030297940016863444,-0.035086679731050924,0.03703941541924799,-0.027901841550669583,False,False,0.0732809648888434,0.11364457831325293,0.37141228623159533,0.37141228623159533
15,0.25,False,False,92.99995047069196,50.0,95.89997053554565,92.99723439641535,92.99697279414438,92.77676347487805,74.0,42.99995047069196,0.05063065062056708,0.051136957126772756,0.03091495447555016,0.001278215757662621,0.006087343625367923,0.0,9.185896487906575e-12,0.051136957126772756,-0.006641709565234986,0.05693621069522453,7.321432349272073e-12,-0.006641709565234986,0.05693621069522453,0.05364185608179721,0.11669413271296206,0.05693621068603864,-0.006641709574420883,0.0655571755861893,0.002504898955024454,False,False,0.18512650007822895,0.20551957831325288,0.3733795349200892,0.3733795349200892
20,0.3333333333333333,False,False,92.99964081764247,50.0,95.89974039653636,92.99313267685153,92.9950715456148,92.81749674581114,74.0,42.99964081764247,0.08192511482985279,0.08274436597815132,0.08516799439737963,0.0036775829433082874,0.015792951326910543,0.00014906020756910547,9.185896487906575e-12,0.08274436597815132,-0.025077650738298485,0.042286073596071935,0.0001199934660235158,-0.025077650738298485,0.042286073596071935,0.06942286961673744,0.1359117476514984,0.04228607358688604,-0.02507765074748438,0.053167381673347086,-0.013321496361413887,False,False,0.25630991015564136,0.2644745481927709,0.3753287997428053,0.3753287997428053
25,0.4166666666666667,False,False,92.99823707225846,50.0,95.89878570166714,92.98566637064805,92.98615522523419,92.69128562865365,74.0,42.99823707225846,0.1193512737969823,0.12054478653495211,0.10266730863411792,0.00774049801303227,0.031121576662341676,0.0008767533259053566,0.00015055080830279622,0.12054478653495211,-0.013311145840970796,0.054175553872677515,0.0007057864225771482,-0.013311145840970796,0.054175553872677515,0.11991291077813644,0.18637650239547407,0.054025003064374716,-0.013461696649273592,0.06583171586052196,-0.0006318757568156697,False,False,0.3011844045361343,0.30395017319277084,0.3772088457914339,0.3772088457914339
30,0.5,False,False,92.99378996722544,50.0,95.89605511018313,92.97223018511448,92.97681018148724,92.66175834715592,74.0,42.99378996722544,0.16234225115073259,0.1639656736622399,0.15314470658680526,0.01362741486246558,0.05232998871907234,0.002535802000184325,0.0008855208531713288,0.1639656736622399,-0.019957977045209307,0.04991423607211273,0.002041320613852804,-0.019957977045209307,0.04991423607211273,0.15754826287518917,0.22606261630172653,0.04902871521894141,-0.020843497898380636,0.06209694263948662,-0.006417410787050742,False,False,0.32977291532703723,0.3279415583584335,0.3789224722107554,0.3789224722107554
35,0.5833333333333334,False,False,92.98284592166172,50.0,95.88986496233277,92.94884502215837,92.95957800477333,92.52799940274325,74.0,42.98284592166172,0.2103751404478262,0.21247889185230448,0.19180543958845786,0.021407572765429407,0.07940167145931565,0.0054362290932008905,0.002561160024833953,0.21247889185230448,-0.013343507488588327,0.05739099884325902,0.00437616441327009,-0.013343507488588327,0.05739099884325902,0.21141653981225825,0.28057989694575003,0.05482983881842506,-0.01590466751342228,0.06810100509344555,-0.0010623520400462327,False,False,0.34811085143739473,0.34533656112575284,0.38033171520999653,0.38033171520999653
40,0.6666666666666666,False,False,92.9604053235877,50.0,95.87786604621137,92.90984307677368,92.9391953734201,92.42853742310815,74.0,42.96040532358769,0.2629640018272094,0.2655936418454815,0.24599821837900415,0.03109451917792016,0.11217492027165388,0.009799360300260608,0.00549059137565564,0.2655936418454815,-0.013225128039295708,0.059274030922851495,0.007888485038120053,-0.013225128039295708,0.059274030922851495,0.2624272095258345,0.33303316848919967,0.05378343954719585,-0.01871571941495135,0.06743952664371816,-0.003166432319647028,False,False,0.3601730688665492,0.35685153109129514,0.3812822369229562,0.3812822369229562
45,0.75,False,False,92.92010831980829,50.0,95.85706625054169,92.84806563365254,92.91059540279176,92.25001093460769,74.0,42.92010831980829,0.31965308299525064,0.32284961382520316,0.2977301890075171,0.04266946055294893,0.15039404642013565,0.015768133655283425,0.00989735389875932,0.32284961382520316,-0.0066050060430129995,0.0670136687181537,0.012693347598133188,-0.0066050060430129995,0.0670136687181537,0.32185725405848964,0.39332407268778335,0.05711631481939438,-0.01650235994177232,0.07047445886258019,-0.0009923597667135242,False,False,0.36861931589438623,0.3652755584623538,0.38162122281136895,0.38162122281136895
50,0.8333333333333334,False,False,92.85452452559724,50.0,95.82389850655697,92.85176721029036,92.87651148912684,92.29049826687378,74.0,42.85452452559724,0.3800106864460183,0.3838107933104785,0.3575906633731365,0.05609116525690154,0.19374161912220608,0.02342559687732987,0.0034974714725649393,0.3838107933104785,-0.021449416589514467,0.053636926339432955,0.018857605483162843,-0.021449416589514467,0.053636926339432955,0.3819115561590845,0.45452876368376366,0.050139454866868015,-0.024946888062079408,0.07071797037328514,-0.0018992371513940065,False,False,0.3734983710566464,0.3700538117957106,0.38120727735691945,0.38120727735691945
55,0.9166666666666666,False,False,92.75547339768792,50.0,95.77431594395381,92.75084372321494,92.8339336031064,91.91888383718134,74.0,42.75547339768792,0.4436238693306192,0.4480601080239254,0.4182201599214241,0.07130352382892392,0.24186692009241595,0.03281147976090288,0.01009835696668233,0.4480601080239254,-0.0018246600921359504,0.0744456426989868,0.026413241213640505,-0.0018246600921359504,0.0744456426989868,0.44682730571271334,0.5203414496100474,0.06434728573230447,-0.011923017058818281,0.07228134158612198,-0.0012328023112120334,False,False,0.3768299149672467,0.3737721764623926,0.3799153206074755,0.3799153206074755
60,1.0,False,False,92.61432954717804,50.0,95.70388278277701,92.60703888721987,92.78428757678661,91.75898813617836,74.0,42.614329547178045,0.5100940221174005,0.5151949623385745,0.48358437766138035,0.08824263286024994,0.29442655369709914,0.04393349950845181,0.018296582594030043,0.5151949623385745,-0.0016337064634031825,0.07594403684778303,0.03536646709812885,-0.0016337064634031825,0.07594403684778303,0.5132925353460257,0.5877967866273397,0.05764745425375299,-0.019930289057433225,0.07260182428876516,-0.0019024269925488335,False,False,0.3786400307668198,0.377214866507784,0.3776380786218138,0.3776380786218138
65,1.0833333333333333,False,False,92.42235137418409,50.0,95.60789789066568,92.41145464830157,92.58648582430597,91.35444982372007,74.0,42.42235137418409,0.579033283924575,0.5848236167638208,0.5505446609866826,0.10683980267163998,0.35106872649818205,0.05677697500855178,0.028141912783485167,0.5848236167638208,0.013561863099563545,0.09231307916859813,0.04570546488052969,0.013561863099563545,0.09231307916859813,0.5827632329761447,0.6581371767417907,0.06417116638511296,-0.014580049683921622,0.07331355997796996,-0.0020603837876760345,False,False,0.37973675842005516,0.37825344335054145,0.3742905507038283,0.3742905507038283
70,1.1666666666666667,False,False,92.17101800429384,50.0,95.48154665746024,92.15542346768926,92.40273313298333,91.01583882331984,74.0,42.17101800429384,0.6500618281788556,0.6565624464606442,0.6204502048589677,0.12702070511958344,0.4114244157460243,0.07131155398985069,0.039669446937386964,0.6565624464606442,0.021865818196167383,0.10182388346000837,0.057405800964306766,0.021865818196167383,0.10182388346000837,0.6537077122196592,0.7299695519135119,0.062154436522621405,-0.01780362874121958,0.07340710545286766,-0.002854734240985035,False,False,0.3789862575850662,0.37809463275616517,0.36981348120842494,0.36981348120842494
75,1.25,False,False,91.85235715191263,50.0,95.32005519698515,91.83084411079278,92.08119530700623,90.51521601814692,74.0,41.85235715191263,0.7228060239760222,0.7300340842157824,0.6918386320665855,0.14870723816076684,0.4751098895250095,0.08749546779085929,0.052899721101039174,0.7300340842157824,0.03726737088830122,0.11836121869177404,0.07043385156889599,0.03726737088830122,0.11836121869177404,0.7264844135666191,0.8035690085892565,0.06546149759073487,-0.015632350212737955,0.07353492437347409,-0.003549670649163339,False,False,0.37801006421737493,0.37562996008668803,0.36417551825996436,0.36417551825996436
80,1.3333333333333333,False,False,91.45920729958522,50.0,95.1188176123188,91.43045043407571,91.73476046785619,90.00144135556747,74.0,41.459207299585216,0.7968974451493714,0.8048664196008651,0.7650267110779378,0.17181697146108652,0.5417539052287541,0.1052774593705437,0.06784200334795969,0.8048664196008651,0.050863499205033164,0.13309122307393356,0.08474835480014918,0.050863499205033164,0.13309122307393356,0.800270713467835,0.878168970689053,0.06524921972597388,-0.016978504142926523,0.07330255108818784,-0.004595706133030175,False,False,0.3749781307919151,0.37419027224911827,0.3573707501869528,0.3573707501869528
85,1.4166666666666667,False,False,90.98545129020083,50.0,94.873530667568,90.94805077002758,91.26975950623165,89.36442000839301,74.0,40.98545129020083,0.8719725881334167,0.8806923140147509,0.839219842078444,0.1962624499837122,0.6110035962275243,0.12459912606544332,0.0844964846529365,0.8806923140147509,0.06832858104405372,0.1516462917436218,0.10030229647559281,0.06832858104405372,0.1516462917436218,0.8749952662929437,0.9536661495276629,0.0671498070906853,-0.016167903608882775,0.07297383551291203,-0.005697047721807236,False,False,0.3714124186631361,0.37109596611855333,0.34941868064988413,0.34941868064988413
90,1.5,False,False,90.42634168302419,50.0,94.58039018519707,90.37886020569758,90.74477980288992,88.67397678415244,74.0,40.42634168302419,0.9476732315878487,0.9571499639037272,0.9143307079103034,0.22195042953204275,0.6824969285155683,0.1453948793880856,0.1028497821936071,0.9571499639037272,0.08602346252563162,0.17041619798636515,0.11704287791012576,0.08602346252563162,0.17041619798636515,0.9501225951487853,1.0295482493634152,0.06756641579275804,-0.016826319667975487,0.07239828545968796,-0.007027368754941921,False,False,0.36549777648080656,0.36663097737464995,0.340373663941646,0.340373663941646
95,1.5833333333333333,False,False,89.77874667813144,50.0,94.23624008872557,89.71975110652909,90.11295275518584,87.87989841368925,74.0,39.77874667813144,1.0236476071874545,1.033884083259329,0.9898354222561002,0.24878523159965998,0.7558597798137572,0.1675925939427792,0.12287419141639475,1.033884083259329,0.10622281162452935,0.19165907418900124,0.13491203812450295,0.10622281162452935,0.19165907418900124,1.025419917200263,1.1055707479022159,0.0687848827726065,-0.0166513797918654,0.07168666464288687,-0.00846416605906608,False,False,0.3599915200677688,0.3601644274621971,0.3303213503205785,0.3303213503205785
