time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,95.9,93.0,93.0,92.99859384556382,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,9.185896487906575e-12,0.0,-0.06003361123466673,0.004932777515969128,7.321432349272073e-12,-0.06003361123466673,0.004932777515969128,-0.06003994062621891,0.00492011874756218,0.004932777506783231,-0.060033611243852626,0.00492011874756218,-0.06003994062621891,False,False,0.0,0.0,6.043972500000001,12.087945000000001
5,0.08333333333333333,False,False,92.99999762036182,50.0,95.89999913793295,92.92279960578138,92.6232066261022,91.81289863217773,74.0,42.999997620361825,0.29484020376562425,0.2977886058032805,-0.027559910939328365,0.00024820629630515375,0.0012214826813813865,0.0,9.185896487906575e-12,0.2977886058032805,0.01835127399760665,0.07665965839182154,7.321432349272073e-12,0.01835127399760665,0.07665965839182154,0.49922451221662556,0.557403169950348,0.07665965838263564,0.018351273988420756,0.2596145641470675,0.20143590641334508,False,False,0.07783342525859192,0.10726916666666667,0.3704446655240072,0.7408893310480144
10,0.16666666666666666,False,False,92.99695690405007,50.0,95.89832267460046,92.72352317915191,92.69144821379686,92.10435971672094,74.0,42.996956904050066,0.5797255669486038,0.5855228226180899,0.5283138410834868,0.004275386464697778,0.053790656793763394,0.0,9.185896487906575e-12,0.5855228226180899,-0.0253280496567025,0.04005657009121187,7.321432349272073e-12,-0.0253280496567025,0.04005657009121187,0.6206477723990835,0.685589029369001,0.040056570082025976,-0.025328049665888395,0.10006620675091116,0.035124949780993675,False,False,1.1115900231424078,4.413228543302104,0.37249008401642714,0.7449801680328543
15,0.25,False,False,92.97108642581199,50.0,95.87771886383346,92.42510578567804,92.24394775020721,90.94586909665364,74.0,42.97108642581199,0.8554205750023866,0.8639747807524104,0.6531184008840423,0.014189548813212677,0.17547240867267327,0.00015018481778745606,9.185896487906575e-12,0.8639747807524104,0.0010459585958903159,0.06462387885634985,0.000120898775776368,0.0010459585958903159,0.06462387885634985,0.9887104477339139,1.051762724365079,0.06462387884716395,0.0010459585867044195,0.18778794361266848,0.12473566698150351,False,False,0.8037961740176596,2.133281313216985,0.37172749384661374,0.7434549876932275
20,0.3333333333333333,False,False,92.88826806222288,50.0,95.80834056923118,92.04068301850285,91.95628114091302,90.80595663934426,74.0,42.88826806222288,1.1224895696413248,1.133714465337738,1.0202365860494964,0.028784921242408404,0.32929507461157115,0.0031181728054514146,0.00015168666277531884,1.133714465337738,-0.017528502156143454,0.04983522217822697,0.002510129103256986,-0.017528502156143454,0.04983522217822697,1.187693335757907,1.254182213792668,0.049683535515451654,-0.017680188818918773,0.12046774845492991,0.05397887042016891,False,False,0.8086361439986871,1.592513032063493,0.3659724923033474,0.7319449846066948
25,0.4166666666666667,False,False,92.70349104744929,50.0,95.65545848670435,91.52780213968435,91.42789302668933,89.67971704541203,74.0,42.70349104744929,1.3812084828217581,1.3950205676499756,1.2209377747752874,0.04786852833870224,0.5061314193328079,0.009655617077938512,0.0031493545270677714,1.3950205676499756,-0.0024151268795850472,0.06507157283406327,0.007772771747340813,-0.0024151268795850472,0.06507157283406327,1.4796354131422709,1.5460990047596084,0.0619222183069955,-0.005564481406652819,0.15107843710963276,0.08461484549229525,False,False,0.8070126517978397,1.5523848965028364,0.35339879645664946,0.7067975929132989
30,0.5,False,False,92.36143185252148,50.0,95.37889050828993,90.85284638342351,90.96766448568208,88.99684741629179,74.0,42.36143185252148,1.631502621967745,1.6478176481874225,1.5128672089509396,0.07122554645414349,0.703431324712193,0.020097513850470393,0.009752173248216423,1.6478176481874225,-0.0032006368461213637,0.06667157627120071,0.016178498651106567,-0.0032006368461213637,0.06667157627120071,1.699480092235541,1.7679944456620784,0.05691940302298429,-0.012952810094337786,0.12017679747465593,0.051662444048118594,False,False,0.8027029158394292,1.541721997552904,0.3321658278509253,0.6643316557018506
35,0.5833333333333334,False,False,91.80330995081424,50.0,94.9356860738902,89.98550254403881,90.04259801317144,87.67854194366863,74.0,41.80330995081424,1.872889947069425,1.8916188465401191,1.7337372689488098,0.09863700372617491,0.9189479567265503,0.03453265858619059,0.020298488990829356,1.8916188465401191,0.01264911119726355,0.08338361752911087,0.027798790159295095,0.01264911119726355,0.08338361752911087,1.950282373583336,2.0194457307168276,0.06308512853828152,-0.007649377793565806,0.1278268841767085,0.05866352704321676,False,False,0.7972223790429811,1.5134550957948845,0.30130520471370137,0.6026104094274027
40,0.6666666666666666,False,False,90.97389847133157,50.0,94.28411502378678,88.90326123920268,89.11253676549225,86.46890259517582,74.0,40.973898471331566,2.1044726223577355,2.125517348581313,1.9848640521500818,0.12986699529286339,1.150135914125527,0.05293474488749092,0.034877985168805026,2.125517348581313,0.024253357374058555,0.09675251633620578,0.042612469629193586,0.024253357374058555,0.09675251633620578,2.16569562119217,2.2363015801555353,0.061874531167400756,-0.010624627794746471,0.11078423157422224,0.040178272610857046,False,False,0.7849936301262912,1.4624549725977904,0.26080098203384294,0.5216019640676859
45,0.75,False,False,89.82801117681664,50.0,93.38782590274491,87.59392303222498,87.7604141374729,84.8399388559754,74.0,39.828011176816645,2.3249762222907746,2.3482259845136824,2.2009986006738527,0.16466297954964734,1.3942756403612273,0.07521479566733187,0.053464092329795675,2.3482259845136824,0.04501601705170381,0.11863469181287048,0.06054791050705717,0.04501601705170381,0.11863469181287048,2.385371712449435,2.456838531078729,0.0651705994830748,-0.008448075278091861,0.10861254656504649,0.03714572793575277,False,False,0.771364943601317,1.402357559600448,0.21157624308887632,0.42315248617775264
