time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,95.9,93.0,93.0,92.99859384556382,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,9.185896487906575e-12,0.0,-0.06003361123466673,0.004932777515969128,7.321432349272073e-12,-0.06003361123466673,0.004932777515969128,-0.06003994062621891,0.00492011874756218,0.004932777506783231,-0.060033611243852626,0.00492011874756218,-0.06003994062621891,False,False,0.0,0.0,0.2551333333333333,0.5102666666666666
5,0.08333333333333333,False,False,92.99995464242168,50.0,95.89998111985527,92.99980498419792,92.98957378712385,92.77196230985682,74.0,42.999954642421685,0.012446046699815878,0.012570507166814036,-0.027559910939328365,0.0008136054596115112,0.005810447825667911,0.0,9.185896487906575e-12,0.012570507166814036,0.009514188844920862,0.06782257323913574,7.321432349272073e-12,0.009514188844920862,0.06782257323913574,0.02900274161683579,0.08718139935055817,0.06782257322994983,0.009514188835734965,0.07461089218374414,0.016432234450021753,False,False,0.2551333333333333,0.5102666666666666,0.25656378494852433,0.5131275698970487
10,0.16666666666666666,False,False,92.99940570351166,50.0,95.89962942708026,92.99853115094146,92.99983035611035,92.9213844524918,74.0,42.999405703511655,0.03622486094045712,0.03658710954986169,0.05809207048369698,0.003212997942021184,0.02266747716875112,0.0,9.185896487906575e-12,0.03658710954986169,-0.03548861777787604,0.029896001970038347,7.321432349272073e-12,-0.03548861777787604,0.029896001970038347,0.0116768432040356,0.07661810017395315,0.02989600196085245,-0.03548861778706194,0.04003099062409146,-0.02491026634582609,False,False,0.25656378494852433,0.5131275698970487,0.25796485344769887,0.5159297068953977
15,0.25,False,False,92.9967095260563,50.0,95.89792366921164,92.99485523232228,92.99386860735727,92.74491272851198,74.0,42.99670952605631,0.07031566786071565,0.0710188245393228,0.044147471688994376,0.007139031944092886,0.04975625730172365,0.00059800287269032,9.185896487906575e-12,0.0710188245393228,-0.0072185207800395945,0.0563593994804199,0.0004813923110759788,-0.0072185207800395945,0.0563593994804199,0.07792734241786825,0.14097961904903308,0.05635939947123401,-0.007218520789225491,0.06996079450971028,0.006908517878545448,False,False,0.25796485344769887,0.5159297068953977,0.2592584887113704,0.5185169774227408
20,0.3333333333333333,False,False,92.98838095444904,50.0,95.89303617512623,92.98585221320927,92.9888956271665,92.77316401210585,74.0,42.98838095444904,0.113778659521098,0.11491644611630898,0.10945348073345067,0.012534246911271727,0.08631123023244003,0.002192460213485424,0.0006039828996108554,0.11491644611630898,-0.02488707950654532,0.042476644827825094,0.0017649304658789334,-0.02488707950654532,0.042476644827825094,0.10670275912153453,0.1731916371562955,0.04187266192821424,-0.025491062406156173,0.05827519103998653,-0.008213686994774455,False,False,0.2592584887113704,0.5185169774227408,0.26031787026755215,0.5206357405351043
25,0.4166666666666667,False,False,92.9691956190595,50.0,95.88236902289316,92.96861102376654,92.97239406414825,92.60846007859406,74.0,42.969195619059505,0.16574208673782623,0.1673995076052045,0.139947198138915,0.019342161034545207,0.13160851111618452,0.0049527851760849655,0.0016612894693935232,0.1673995076052045,-0.01245552849555931,0.05503117121808901,0.003986992066029415,-0.01245552849555931,0.05503117121808901,0.17277470292859737,0.23923829454593498,0.05336988174869549,-0.014116817964952833,0.07183878694073048,0.005375195323392867,False,False,0.26031787026755215,0.5206357405351043,0.2610116337155303,0.5220232674310606
30,0.5,False,False,92.93253636063012,50.0,95.86263887321074,92.93125657262163,92.9534683660359,92.52931936892782,74.0,42.932536360630124,0.22539027892129787,0.22764418171051085,0.20600649873726617,0.027506426942623865,0.18495764702866813,0.008960402956910363,0.004989779624429503,0.22764418171051085,-0.015663213046867443,0.05420900007045461,0.007213124387135395,-0.015663213046867443,0.05420900007045461,0.2277709185862309,0.2962852720127683,0.04921922044602511,-0.020652992671296944,0.06864109030225743,0.0001267368757200682,False,False,0.2610116337155303,0.5220232674310606,0.26121993066905635,0.5224398613381127
35,0.5833333333333334,False,False,92.8708504390931,50.0,95.82998985289679,92.86840212361815,92.92127509469361,92.32268725446428,74.0,42.870850439093104,0.29195329947840876,0.29487283247319285,0.2620280952994996,0.036970045704402675,0.24569414044646362,0.014239739967957028,0.009596048888033693,0.29487283247319285,-0.006828052525508804,0.06390645380633855,0.011462990673271634,-0.006828052525508804,0.06390645380633855,0.3008883002655842,0.370051657399076,0.05431040491830486,-0.016424101413542495,0.07517882492588313,0.006015467792391371,False,False,0.26121993066905635,0.5224398613381127,0.2608434762849577,0.5216869525699154
40,0.6666666666666666,False,False,92.77604676571076,50.0,95.78012610073293,92.77180565292016,92.8821519214646,92.13784787963868,74.0,42.77604676571076,0.3646985341115816,0.3683455194526974,0.3354699788323301,0.04767471622963518,0.31317324860103446,0.020785853030414473,0.015492710028865986,0.3683455194526974,-0.0036460210127157097,0.06885313794943147,0.016732611696670573,-0.0036460210127157097,0.06885313794943147,0.37256835379878483,0.44317431276215,0.05336042792056549,-0.019138731041581696,0.07482879330945263,0.004222834346087445,False,False,0.2608434762849577,0.5216869525699154,0.25980242033123485,0.5196048406624697
45,0.75,False,False,92.6398510435125,50.0,95.7084593737237,92.63304092682846,92.78779140807892,91.85146612487037,74.0,42.63985104351249,0.44292398308910147,0.44735322291999247,0.40787133328046743,0.05956033933163446,0.3867651412709271,0.02857759424275686,0.022676018857146117,0.44735322291999247,0.005202922795756633,0.07882159755692332,0.023004963369976397,0.005202922795756633,0.07882159755692332,0.4539840081779149,0.5254508268072086,0.0561455786997772,-0.017473096061389484,0.0780976038872161,0.0066307852579224336,False,False,0.25980242033123485,0.5196048406624697,0.25803601192658504,0.5160720238531701
50,0.8333333333333334,False,False,92.4541371164563,50.0,95.61026813880753,92.44383638650106,92.64594725933605,91.54287287719542,74.0,42.454137116456295,0.5259530871933853,0.5312126180653192,0.4897174174925617,0.07256466537899553,0.46585128387740293,0.03758373675908995,0.03113092712910657,0.5312126180653192,0.01245101819525293,0.08753736112420038,0.030254908097003864,0.01245101819525293,0.08753736112420038,0.5370093847011957,0.6096265922258749,0.05640643399509381,-0.01867990893385364,0.07841397416055573,0.005796766635876582,False,False,0.25803601192658504,0.5160720238531701,0.2555031890610185,0.511006378122037
55,0.9166666666666666,False,False,92.21124300713562,50.0,95.48086431809905,92.19639857271632,92.42753197132339,91.14397086006034,74.0,42.21124300713562,0.6131309767270318,0.619262286494302,0.5733179884635353,0.08662308034237991,0.5498219604463784,0.04776585289438466,0.040833567129902805,0.619262286494302,0.022710946863362273,0.09898124965448497,0.03845151158143381,0.022710946863362273,0.09898124965448497,0.6256984595632777,0.6992126034606116,0.05814768252458217,-0.01812262026654053,0.07995031696630961,0.0064361730689757035,False,False,0.2555031890610185,0.511006378122037,0.252183576751164,0.504367153502328
60,1.0,False,False,91.90427044380243,50.0,95.31576298274756,91.8837187122618,92.16084020353063,90.6947570759787,74.0,41.90427044380243,0.7038220619411751,0.7108602825605869,0.6624555315119447,0.1016685294390582,0.6380748862341247,0.05907973124037713,0.05175256048014489,0.7108602825605869,0.03298114213452123,0.11055888544570747,0.047559183652401776,0.03298114213452123,0.11055888544570747,0.7164713827265815,0.7909756340078955,0.058806324965562574,-0.01877141834562366,0.08011535144730864,0.0056111001659946425,False,False,0.252183576751164,0.504367153502328,0.2480783286911706,0.4961566573823412
65,1.0833333333333333,False,False,91.52736031777822,50.0,95.11084921795735,91.4998545750768,91.81312482138905,90.1598211146999,74.0,41.52736031777822,0.7974088820169235,0.8053829708370928,0.7537235083672384,0.11763157836209436,0.7300148680369759,0.07147615382476968,0.0638497912576895,0.8053829708370928,0.0451210665774848,0.12387228264651938,0.057538303822320815,0.0451210665774848,0.12387228264651938,0.8105817040195175,0.8859556477851634,0.06002249138882988,-0.0187287246802047,0.08057267694807069,0.005198733182424697,False,False,0.2480783286911706,0.4961566573823412,0.2432104006805507,0.4864208013611014
70,1.1666666666666667,False,False,91.07593299795622,50.0,94.86253544005592,91.04017610643709,91.4001041383063,89.5592783750921,74.0,41.075932997956215,0.8932921086074809,0.9022250296935557,0.8482686759023405,0.13444060974146538,0.8250544559172724,0.08490141103542312,0.07708094579766112,0.9022250296935557,0.05787018990758661,0.1378282551714276,0.06834563588495257,0.05787018990758661,0.1378282551714276,0.9062707050075881,0.9825325447014409,0.06074730937376649,-0.019210755890074503,0.08030751500788524,0.0040456753140324375,False,False,0.2432104006805507,0.4864208013611014,0.23762398689744677,0.47524797379489353
